Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Fjord Foundry",1710288000,"2024-03-13",4300000,"Seed","community-focused platform, offering fair and transparent Liquidity Bootstrapping Pools","Lemniscap","Web3","https://x.com/FjordFoundry/status/1767969619229172209","","Ethereum","Mechanism Capital + Zee Prime Capital + DCD + UniswapVilain + Rager + JZ + Kieran Warwick + Fomosaurus"
"Munchables",1710288000,"2024-03-13","","Pre-Seed","NFT game","Manifold + Mechanism Capital","Gaming","https://x.com/_munchables_/status/1767717647217791375","","","Selini Capital + Duplicate Capital + Hidden Street Capital + CBB0FE + DCF God + Shoku + 0xLawliette + NBS + Bharat Krymo + dingaling + hype partners + Casey Caruso"
"MetalCore",1710201600,"2024-03-12",5000000,"Private","1st/3rd Person Combat Territorial Warfare PvPvE Shooter","","Gaming","https://x.com/TheBlock__/status/1767581681681158638","","ImmutableX + Ethereum","Delphi Digital + Sanctor Capital + BITKRAFT Ventures + The Spartan Group"
"Elixir Protocol",1710201600,"2024-03-12",8000000,"Series B","decentralized, algorithmic market making protocol","Mysten Labs + Maelstrom ","DEX","https://x.com/elixir/status/1767537221748326752","800","","Arthur Hayes + Manifold + GSR Ventures + Amber Group + Flowdesk"
"NFTfi",1710115200,"2024-03-11",6000000,"Series A1","NFT lending protocol","Placeholder","DeFi","https://x.com/NFTfi/status/1767228638871822722","","Ethereum","Maven 11 Capital + Kahuna + Launch Labs Inc + Brevan Howard + The Lao + Reciprocal Ventures + A.Capital + HASH CIB + Bloccelerate + Cypher Capital + Longhash Ventures"
"Eclipse Labs",1710115200,"2024-03-11",50000000,"Series A","Ethereum layer-2 using the Solana Virtual Machine (SVM)","Placeholder + Hack VC","L2","https://x.com/EclipseFND/status/1767212277285969979","","Ethereum","Polychain Capital + Maven 11 Capital + DBA + Delphi Digital + Fenbushi Capital + Bankless Ventures + Flow Traders + OKX Ventures + Barnabe Monnot + John Adler + Mert Mumtaz + Austin Federa + DCInvestor + Hasu + Cozomo de’ Medici + Meltem Demirors + ZachXBT + Anthony Sassano + Santiago Roel Santos + Jill Gunter + DeeZe + Eric Wall"
"Blockus",1710115200,"2024-03-11",4000000,"Pre-Seed","web3 gaming platform","Maple VC","Gaming","https://x.com/GamesBeat/status/1767173675973759245","",""," Altos Ventures + Zhuoxun Yin + Michael Ma + Bryan Pellegrino"
"Cellula",1709856000,"2024-03-08","","Private","fully on-chain autonomous life simulation strategy game","Binance Labs","Gaming","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"Derivio",1709856000,"2024-03-08","","Private","decentralized structured derivatives ecosystem","Binance Labs","DeFi","https://x.com/BinanceLabs/status/1766011339665821736","","zkSync",""
"UXUY",1709856000,"2024-03-08","","Private","multi-chain platform based on MPC and AA wallet technology with intent-centric features, minimizing the entry barriers to decentralized trading","Binance Labs","Infrastructure","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"Shogun",1709856000,"2024-03-08","","Private","intent-centric protocol that aims to maximize trader extractable value (TEV) via optimized orderflow and complete chain abstraction","Binance Labs","DeFi","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"NFPrompt",1709856000,"2024-03-08","","Private","Prompt Artist Platform in Web3","Binance Labs","NFT","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"Ethena",1709856000,"2024-03-08","","Private","synthetic dollar protocol built on Ethereum","Binance Labs","DeFi","https://x.com/BinanceLabs/status/1766011339665821736","","Ethereum",""
"QnA3",1709856000,"2024-03-08","","Private","AI-powered Web3 knowledge sharing and search platform","Binance Labs","AI","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"Cosmology",1709769600,"2024-03-07",5000000,"Seed","full-stack development environment tailored specifically for the Cosmos ecosystem","Galileo + Lemniscap","Infrastructure","https://x.com/cosmology_tech/status/1765776264252768280","","Cosmos","Lemniscap + Dispersion Capital + HashKey Capital + Tuesday Capital + Osmosis Foundation + Chorus One + Informal Systems"
"Zama",1709769600,"2024-03-07",73000000,"Series A","open source cryptography company that builds state-of-the-art Fully Homomorphic Encryption (FHE) solutions for blockchain and A","Multicoin Capital + Protocol Labs","Infrastructure","https://x.com/zama_fhe/status/1765727386480320771","","Ethereum + Optimism + Polygon + Avalanche + Fantom","Metaplanet + Blockchange Ventures + Vsquared Ventures +  Stake Capital + Juan Benet + Anatoly Yakovenko + Gavin Wood"
"Blackwing",1709769600,"2024-03-07",7500000,"Seed","modular layer 2 blockchain designed for liquidation-free leveraged trading for any asset","Hashed + gumi Crypto Capital","L2","https://x.com/blackwing_fi/status/1765797739236143498","","","Alpha Lab Capital + Coin98 Ventures + CyberX + Saison Capital + K300 Ventures + DCF God + Fiskantes + 0xbrent + icebergy + Rooter + Anand Iyer + Julian Koh + Tom Howard + Andy + naniXBT + Cygaar"
"Oyl",1709769600,"2024-03-07",3000000,"Pre-Seed","Bitcoin Ordinals Wallet ","Arca","Infrastructure","https://x.com/TheBlock__/status/1765799860039540943","","Bitcoin","Domo + Maelstrom Fund"
"Hedgehog",1709683200,"2024-03-06",1500000,"Pre-Seed","Protocol for hedging against crypto transaction fees","","DeFi","https://x.com/TheHedgehog_io/status/1765355385290965024","","Manta + Arbitrum + zkSync + Optimism + BTC","Marshland Capital + Tenzor Capital + Prometeus Ventures + 3Commas Capital + Nothing Research + Vasiliy Shapovalov + Banteg + Ivangbi"
"TON",1709683200,"2024-03-06",8000000,"Secondary Market","TON Labs is a core developer of the Free TON blockchain protocol and TON OS (operating system).","","L1","https://x.com/ton_blockchain/status/1765425008627568969","","",""
"Firewall",1709683200,"2024-03-06",3700000,"Pre-Seed","blockchain security infrastructure firm","North Island Venture + Breyer Capital + Hack VC","Smart contract security","https://x.com/iamoptmstc/status/1765424566518874692","","","Finality Capital Partners + Kain Warwick + Smokey The Bera + Tim Ogilvie + Nathan McCauley + Xinsu Dong + Jack Bounce + Pranay Mohan"
"Sahara",1709596800,"2024-03-05",6000000,"Seed","decentralized AI network","Polychain Capital","AI","https://x.com/SaharaLabsAI/status/1765081695576006850","","Polygon","Samsung Next + Matrix Partners + Motherson Group + Sandeep Nailwal + Sequoia Capital + Dao5 + Geekcartel + Nomad Capital + Canonical Crypto + Dispersion Capital + Alumni Ventures + Tangent + Coho Deeptech"
"Baanx",1709596800,"2024-03-05",20000000,"Series A","crypto payments platform","Ledger + Tezos Foundation + Chiron + British Business Bank","Payments","https://x.com/CoinDesk/status/1764948180536365263","","","Multicoin Capital + 6th Man Ventures + M13 + Delphi Digital + Solana Labs + Aptos Labs + Foresight Ventures + Longhash Ventures + Amber + SevenX Ventures + Arkstream + Animoca Brands + Continue Capital + MH Ventures + Sandbox Games + Anatoly Yakovenko + Mo Shaikh + Avery Ching + Yat Siu + Sebastien Borget + Jin Kang"
"Ionet",1709596800,"2024-03-05",30000000,"Series A","decentralized GPU network","Hack VC","decentralized protocol for perpetual options","https://x.com/ionet_official/status/1765065611674374365","1000","",""
"Utila",1709596800,"2024-03-05",11500000,"Seed","self-custodial wallet infrastructure at enterprise scale","NFX + Wing Venture Capital + Framework Ventures","Infrastructure","https://x.com/CoinDesk/status/1765014998286237924","","Ethereum + StarkNet + Bitcoin + Solana + Avalanche + Optimism + BSC + Arbitrum + Polygon","Fasanara Digital Ventures + North Island Ventures + Republic Capital + Liquid 2 Ventures + Inspired Capital Partners + Lyrik Ventures + DCG Expedictions + Launchpad Capital + Shima Capital + K5 Global + Big Brain Holdings + Impatient"
"CredShields",1709510400,"2024-03-04",1000000,"Strategic ","Web3 security","Draper Associates","Smart contract security","https://x.com/CredShields/status/1764582211859231152","","Ethereum",""
"Privasea",1709510400,"2024-03-04",5000000,"Seed","Network integration of Fully Homomorphic Encryption Machine Learning (FHEML) into a distributed computing network","","Infrastructure","https://x.com/Privasea_ai/status/1764644482287546465","","","Binance Labs + MH Ventures + Gate Labs + K300 + QB Ventures +  Crypto Times + Zakaria Awes +  Luke Sheng"
"Stack",1709510400,"2024-03-04",3000000,"Seed","on-chain points infrastructure","Archetype","Infrastructure","https://x.com/stackdotso/status/1764708473994928211","","Ethereum","Coinbase Ventures + Scalar Capital + A.Capital + Balaji Srinivasan + Nadav Hollander + Henri Stern + Cooper Turley + Colin Armstrong"
"Scallop Protocol",1709424000,"2024-03-03",3000000,"Strategic ","lending and borrowing protocol","CMS + 6th Man Ventures","Def","https://x.com/Scallop_io/status/1764190033970380813","","Sui","KuCoin Labs + Side Door Ventures + Oak Grove Ventures + Signum Capital + Blockchain Founders Fund + Cypher Capital + Mysten Labs + Kyros Ventures + 8186 Capital + 7UpDAO + LBank Labs + ViaBTC + Cetus Protocol + Zellic + AC Capital + Criterion VC + UOB Venture Management"
"Taiko",1709424000,"2024-03-03",15000000,"Series A","A decentralized, Ethereum-equivalent ZK-Rollup","Lightspeed Faction + Hashed + Generative Ventures + Token Bay Capital","L2","https://x.com/taikoxyz/status/1763961321933189153","","Ethereum","Wintermute + Presto Labs + Flow Traders + Amber Group + OKX + GSR + WWVentures"
"ReadyGG",1709251200,"2024-03-01",4000000,"Private"," infrastructure for the Web3 Games & Dev creator economy","Delphi Digital + Momentum6","Infrastructure","https://x.com/CryptoDiffer/status/1763182635109503225","","","Merit Circle + ZBS CAPITAL + Token Metrics Ventures + Purechain Capital + Alex Becker"
"Karma3 Labs",1709251200,"2024-03-01",4500000,"Seed","decentralized reputation protocol","Galaxy Digital + IDEO CoLab Ventures","decentralized protocol for perpetual options","https://x.com/karma3labs/status/1763584358701551978","","","Spartan + SevenX Ventures + HashKey + Flybridge + Draper Dragon + Compa Capital + Delta Blockchain Fund + Andrew Hong +  Liang Wu"
"Imaginary Ones",1709164800,"2024-02-29","","Private","Web3 gaming & NFTs","","Gaming","https://x.com/Imaginary_Ones/status/1763225147094307065","","","Cypher Capital + Animoca Brands + Eden Holdings + MH Ventures + Illuminati Capital + NxGen + Hercules Ventures + Andromeda Capital + PG Capital + Yu-Chuang Kuek + Sebastien Borget + Frances Han + Amit Malhotra + Gwendolyn Regina + dingaling +  Ivan on Tech + Mooncat2878 + Xeer + Dewku"
"FortyTwo",1709164800,"2024-02-29",1000000,"Seed","aggregating dApps, wallets, and DeFi solutions into one","LBank Labs","Infrastructure","https://x.com/FortyTwo_money/status/1763191581492863130","","","Binary Builders + Dorahacks + Interop Ventures + Kahuna + Longhash Ventures + Public Works + Typhon Ventures + Brian Crain + Darren Li + Dean Eigenmann + Dean Tribble  + Don Cryptonium + Eli Krenzke + Jonathan Gabler + Josh Kang + Noam Cohen + Onur Akpolat + Sam Cassatt + Shane Vitarana + Sky Lai + Suhail Gangji  + Wilsen Tiomajaya"
"ContributionDAO",1709078400,"2024-02-28",2800000,"Seed","institutional-grade staking platform","KASIKORN X Venture Capital ","Infrastructure","https://decrypt.co/219414/contributiondao-successfully-raises-2-8-million-to-expand-staking-into-the-southeast-asia-market","","","Axelar + UMI + Connext + Monad"
"BounceBit",1709078400,"2024-02-28",6000000,"Seed","BTC restaking infrastructure","Breyer Capital + Blockchain Capital","Liquid Staking Protocol","https://x.com/bounce_bit/status/1762874894520656120","","BTC","Dao5 + CMS Capital + Bankless Ventures + NGC Ventures + Matrixport + Primitive Ventures + Arcane Capital + IDG Capital + Bixin Ventures + Nomad Capital + Geek Cartel + DeFiance Capital + GMR + OKX Ventures + Mirana Ventures + HTX Ventures + MEXC Ventures + James Parillo + RookieXBT + MacnBTC + Pentoshi"
"Humanity Protocol",1709078400,"2024-02-28","","Strategic ","sybil-resistant layer 2 blockchain","","L2","https://x.com/Humanityprot/status/1762734931791249436","","","Hashed + CMCC Global +  Cypher Capital + Foresight Ventures + Mechanism Capital"
"Octav",1709078400,"2024-02-28",4000000,"Strategic ","Smart DeFi Data Labelling and Analytics Platform","","Analytics","https://x.com/OctavFi/status/1762861271811256542","","Ethereum + Arbitrum + Optimism",""
"ether.fi",1709078400,"2024-02-28",27000000,"Series A","Native liquid restaking on Ethereum","CoinFund + Bullish","Liquid Staking Protocol","https://x.com/ether_fi/status/1762841187356979302","","Ethereum","Amber Group + Bankless Ventures + OKX Ventures + ConsenSys + Foresight Ventures + Fourth Revolution Capital + Punk Ventures DAO + White Star Capital + Relayer Capital + Collider Ventures + Lvna Capital + Draper Dragon + Arrington Capital + North Island Ventures + Chapter One + Version One Ventures + Node Capital + Stani Kulechov + Sandeep Nailwal + Defi Dad + Parallel + Will Price + leptokurtic + MrBlock"
"Geodnet",1709078400,"2024-02-28",3500000,"Seed","Global Earth Observation Decentralized Network","North Island VC","decentralized protocol for perpetual options","https://x.com/GEODNET_/status/1762832552979505353","","","Borderless Capital + Modular Capital + Road Capital + Tangent + Reverie + Iotex + JDI"
"Backpack",1709078400,"2024-02-28",17000000,"Series A","","Placeholder ","CEX","https://x.com/Backpack/status/1762826489534595356","","","Hashed + Robot Ventures + Wintermute Ventures + Amber + Selini Capital"
"Morpho Labs",1709078400,"2024-02-28","","Private","Lending","Pantera Capital","DeFi","https://x.com/PanteraCapital/status/1762654424147558836","","Ethereum",""
"Validation Cloud",1708992000,"2024-02-27",5800000,"Seed","web3 infrastructure","Cadenza Ventures","Infrastructure","https://x.com/ValidationCloud/status/1762502690540548237","","","Blockchain Founders Fund + BlockWall Digital + Bloccelerate + Side Door Ventures + Metamatic + GS Futures + AP Capital"
"Sphere",1708992000,"2024-02-27",2800000,"Seed","Payments infrastructure","TCG Crypto + Jump Capital","Payments","https://x.com/sphere_labs/status/1762541489467613656","","Solana","Hudson River Trading + Big Brain Holdings + Solana Ventures + SteelDAO + SHV + Republic Capital + Cogitent Ventures + Anatoly Yakovenko + Raj Gokal + Jordan Sexton + Abhay Kumar + Kadense + SolanaLegend + Alex Coffman + Logan Jastremski + Tim Wang + Nick Garfield + Branche + TJ Littlejohn + Dean Pappas + Tristan Yver + 0xSoju + Gab + R89Capital"
"Babylon",1708992000,"2024-02-27","","Private","Bitcoin staking protocol","Binance Labs","Liquid Staking Protocol","https://x.com/BinanceLabs/status/1762478051500175692","","Bitcoin",""
"Initia",1708992000,"2024-02-27",7500000,"Seed","rollup-focused blockchai","Delphi Digital + Hack VC","Infrastructure","https://x.com/initiaFDN/status/1762478470075183371","","","Cobie + DCF God + SplitCapital + Nascent + Figment Capital + a_capital + Big Brain Holdings + Nick White + Smokey"
"Talus",1708905600,"2024-02-26",3000000,"Seed","blockchain network for AI","Polychain Capital","AI","https://x.com/TalusNetwork/status/1762157302088434040","","","Dao5 + Hash3 + TRGC + WAGMI Ventures + Inception"
"Delphinus Lab",1708905600,"2024-02-26","","pre-Series A","zkWASM-based application rollup platform","","Infrastructure","https://x.com/DelphinusLab/status/1762246904342327374","","","OKX Ventures + Hashkey Capital + SevenX Ventures + Generative Ventures + Bas1s. Ventures"
"Avail",1708905600,"2024-02-26",27000000,"Seed","Web3 infrastructure layer that allows modular execution layers to scale and interoperate in a trust minimized way","Founders Fund + Dragonfly","Infrastructure","https://x.com/AvailProject/status/1762114101881537009","","Ethereum + Polygon zkEVM","Nomad Capital + SevenX Ventures + Figment Capital + Balaji Srinivasan + Sunny Aggarwal + Mudit Gupta + Amrit Kumar + Aschwin R."
"Shuffle",1708646400,"2024-02-23",2500000,"Seed","crypto casino and sports betting platform","","Betting","https://x.com/shufflecom/status/1761028296463249433","","Bitcoin + Ethereum","Karatage + Cypher Capital + Sunforge + ODA Capital + Wizards Capital + Upside  + Parc Capital + Baboon VC + CL207 + fj + Andrew Kang + Tristan Ver + Jordi Alexander + Arthur0x + 0xSisyphus + 0xLawliette + HGEABC + Kirby Ong + Kura and Daren + 3Nes + Elroy Cheo + Taran + Tai Zhang"
"Singularity",1708646400,"2024-02-23",2200000,"Private","KYC/KYB-compliant institutional DeFi access layer leveraging Noir-based zero-knowledge circuits","Gumi Cryptos Capital","Infrastructure","https://x.com/singularityzk/status/1760691369054736832","","","Nomura Laser Digital + Eureka Partners + Apollo Crypto + DACM + Gandel Invest"
"Clave",1708560000,"2024-02-22",1600000,"Pre-Seed","Account Abstraction storing keys on hardware","Matter Labs","Infrastructure","https://x.com/getclave/status/1760666518579511605","","zkSync","LambdaClass + Safe Ecosystem Foundation + Mirana Ventures + Sandy Peng + Anurag Arjun + Kofi + Doruk Ismen + Raj Parekh + Kristof Gazso + Aayush Gupta + Turan Sert"
"Renzo",1708560000,"2024-02-22","","Private","Liquid Restaking Hub","Binance Labs","Liquid Staking Protocol","https://x.com/BinanceLabs/status/1760666575508812212","","Ethereum",""
"Startale Labs",1708560000,"2024-02-22",3500000,"Seed+","Web3 infrastructure ","","Infrastructure","https://x.com/StartaleHQ/status/1760456630796431766","","","UOB Venture Management + Samsung Next Ventures"
"Superfluid",1708560000,"2024-02-22",5100000,"Strategic ","Payment streaming protocol","Fabric Ventures","DeFi","https://twitter.com/TheBlock__/status/1760695961024667953","","Polygon + Arbitrum + Gnosis + Optimism + Avalanche + BSC","Multicoin Capital + Circle Ventures + Safe Ecosystem Foundation + The Lao + Taavet+Sten"
"Helius",1708560000,"2024-02-22",9500000,"Series A","Webhooks, enhanced Solana APIs, and powerful RPCs","Foundation Capital","Infrastructure","https://x.com/0xMert_/status/1760657836978393189","","Solana","Reciprocal Ventures + 6th Man Ventures + Chapter One + Propel VC"
"EigenLayer",1708560000,"2024-02-22",100000000,"Private","Ethereum restaking protocol ","a16z crypto","Liquid Staking Protocol","https://x.com/eigenlayer/status/1760666731859833048","","Ethereum",""
"Citrea",1708473600,"2024-02-21",2700000,"Seed"," first rollup that enhances the capabilities of Bitcoin blockspace with zero-knowledge technology","Galaxy","L2","https://x.com/citrea_xyz/status/1760363771946836240","","Bitcoin","Delphi Ventures + Eric Wall + Anurag Arjun + Igor Barinov + VelvetMilkman + James Parillo + BatuX"
"INIT Capital",1708473600,"2024-02-21",3100000,"Seed","Building Liquidity Hook Money Market","Electric Capital + Mirana Ventures","DeFi","https://x.com/InitCapital_/status/1760273773667004620","","","Maelstrom + Robot Ventures + Nomad Capital + Tangent + Bankless Ventures + Selini Capital + Faction + Julian Koh + leptokurtic + Tai Panich + David Choi + Ashwin Ramachandran"
"ZeroLend",1708473600,"2024-02-21",3000000,"Seed","Lending Protocol","","DeFi","https://x.com/zerolendxyz/status/1760181607137505736","","zkSync + Manta","Momentum 6 + Blockchain Founders Fund + Morningstar Ventures + Banter Capital + Newman Capital + dVdT + Transform Capital + Cypher Capital + Bison Fund + Ozaru Ventures + iAngels + Krypital Group + Genblock Capital + ViaBTC + GBV + Asteroid Capital + MrBlock + Pranav Sharma + Michael Gu + Avi Felman + Nick Rose"
"Inco",1708473600,"2024-02-21",4500000,"Seed","a modular confidential computing Layer-1 blockchain powered by fully homomorphic encryption (FHE) and secured by Ethereum","1kx","L1","https://x.com/inconetwork/status/1760305729901093341","","Ethereum + Cosmos","Circle Ventures + GSR Ventures + Polygon Ventures + Robot Ventures + Alliance DAO + Matter Labs + Portal Ventures + Daedalus + Big Brain Holdings + Symbolic Capital Partners + Fenbushi Capital + Tarun Chitra + Yi Sun + Jon Kol + bonustrack87   + Kartik Talwar + Don Ho + Kenzi + Will Price + Henri Stern + Dovey Wan + Scott Moore + Calvin Liu"
"Crystal Fun",1708387200,"2024-02-20",5000000,"Seed","Decentralized Gaming Mega-ecosystem & Studio","","Gaming","https://x.com/playCrystalFun/status/1759798098975678875","","","KuCoin Ventures + Waterdrip Capital + Comma3 Ventures + Stratified Capital + Cypher9 Ventures + Aelf + W Labs + Masverse"
"Helika",1708387200,"2024-02-20",8000000,"Series A","web3 gaming studio","Pantera Capital","Gaming","https://x.com/HelikaGaming/status/1760001129516282172","","","Sparkle Ventures + Diagram Ventures + Sfermion + Spencer Tucker + Damon Gura + Marc Alloul"
"Meso",1708387200,"2024-02-20",9500000,"Seed","payment platform that brings digital assets and fiat currencies closer together","Solana Ventures + Ribbit Capital","Payments","https://x.com/meso_network/status/1759959190695526695","","Ethereum + Solana","Canonical Crypto + 6th Man Ventures + Chris Kalani + Bill Ready + Archie Puri "
"Nest Wallet",1708387200,"2024-02-20",3600000,"Seed","multi-chain wallet built for traders","","Infrastructure","https://x.com/nestwalletxyz/status/1759699534588809420","","","Inception + Ascensive Assets + SNACKCLUB + Orange DAO + gumi Cryptos + INCE Capital + Steve Chen + Kevin Lin + Gabby Dizon + Sebastien Borget + Kun Gao + Patrick Lee + Jamie Lin + naniXBT"
"AltLayer",1708300800,"2024-02-19",14400000,"Strategic ","Decentralized & Elastic Rollups-as-a-Service Protocol","Polychain Capital + Hack VC","Infrastructure","https://x.com/alt_layer/status/1759539337593569666","","","Hashkey Capital + OKX Ventures + Primitive Ventures + Dao5 + Breyer Capital + Bankless Ventures + SevenX Ventures + Mask Network + IOSG Ventures + TRGC"
"Beoble",1708300800,"2024-02-19",7000000,"Seed","Web3 messaging and social platform","","Web3","https://x.com/beoble_official/status/1759553111189041395","","","Hashkey Capital + Samsung Next + DCG + DWF Ventures + Nomura Laser Digital + Cypher Capital + Blockchain Founders Fund"
"Ethena",1708041600,"2024-02-16",14000000,"Strategic ","startup developing the first-ever ‘internet bond’ and a new Ethereum-based stablecoin secured by derivatives","Dragonfly Capital + Maelstrom ","DeFi","https://x.com/TheBlock__/status/1758477081833599235","300","",""
"dePHY",1708041600,"2024-02-16","","Seed","open source hardware solutions, decentralised messaging layer, and automatic tokenomics execution for all DePIN projects","","Infrastructure","https://www.theblock.co/post/277656/dephy-secures-seed-funding-round-at-40-million-valuation","40","","Blockchain Builders Fund + Foresight Ventures + Iotex + Paramita + Future Money Group + Waterdrip Capital + DefianceX + PAKA + Candaq Fintech Group"
"Concrete Protocol",1707955200,"2024-02-15",7500000,"","appchain built for on-chain debt and credit","Hashed + Tribe Capital","DeFi","https://x.com/ConcreteXYZ/status/1758171490141278609","","Arbitrum + Avax + Avalanche + Blast  + Berachain + Ethereum + SEI + Kinto + Base","Portal Ventures + Salt + Kyber + Hypersphere Ventures + Lightshift + Awesome People Ventures + Kronos Ventures + Veris Ventures + Avalanche Labs + W Ventures + Canonical Crypto + Picks and Shovels VC + Terranove + Hyperithm"
"Lava Network",1707955200,"2024-02-15","","Seed","modular data network giving developers scalable access to any rollup or blockchain","Jump Capital + HashKey Capital + Tribe Capital","Infrastructure","https://x.com/lavanetxyz/status/1758162588381405563","","","North Island Ventures + Dispersion Capital + Alliance DAO + Finality Capital Partners"
"Witness",1707955200,"2024-02-15",3500000,"Pre-Seed","infrastructure to make it easy for developers of any kind of application — including a traditional website — to take advantage of blockchains' power to verify crucial information","Haun Ventures","Infrastructure","https://x.com/WitnessCo_/status/1758174520521998612","","","Coinbase Ventures + John Adler + Tarun Chitra + Nic Carter + Scott Sunarto + Tim Beiko + Henri Stern + Elias Simos + Uma Roy + Yi Sun + Rob Witoff"
"Drosera",1707955200,"2024-02-15",1500000,"Pre-Seed","Decentralized Security Model for Web3","Anagram","Smart contract security","https://x.com/DroseraNetwork/status/1758129086344413265","","","Arrington Capital + UDHC + Comfy Capital + Bodhi Ventures + Metamatic + BaseDAO + Asymmetric + Zeal Capital + Everstake + 01Node + Marin Ventures + Infinite Capital + NxGen + Santiago Santos + Andrew Van der Werff + Eli Krunzke + Mike Silagadze + Rok Kopp + Valeyo + Karel Kubat + Marc Weinstein + Adam Patel + Chris Battenfield + Jack Sun + Tanthai Pongstein + Josh Han + Dylan CZ + Sebastien Davies + Flywheel"
"Ultiverse",1707868800,"2024-02-14",4000000,"Strategic ","AI-powered platform for Web3 game creation","IDG Capital","Gaming","https://x.com/UltiverseDAO/status/1757759138959151421","150","","Animoca Brands + Polygon Ventures + Morningstar Ventures + Jacob Ko + Taiko + Zetachain + DWF Ventures + Manta Network + Brevan Howard Digital + GGV Capital"
"Architect",1707868800,"2024-02-14",12000000,"Private","Trading software to make centralized and decentralized crypto markets easier to use for large investors like institutions","BlockTower Capital + Tioga Capital","Infrastructure","https://x.com/BrettHarrison88/status/1757766810361827574","","","CMT Digital + ParaFi Capital + A Capital + Twelve Below + Coinbase Ventures + SVA + Third Kind + Salt Fund +  US Digital Trust"
"Watches.io",1707782400,"2024-02-13",1900000,"Pre-Seed","end-to-end tracking and trading ecosystem for watches","Lemniscap","Web3","https://x.com/watchesio/status/1757413473108029729","","","Builder Capital + Soft Holdings + Darkside Capital + Big Brain Holdings + Marin Ventures + Kadin Donohue + Anatoly Kondiyakov + Michael Zajko + Regan Bozman + Steven Shi + Jonathan Gabler + Robert Chen + Kiet Fong + Jack Sun + Taranveer Sabharwal + Justin Bram"
"Fordefi",1707782400,"2024-02-13",10000000,"Seed+","institutional-grade crypto wallet service to retail-facing platforms","Electric Capital","Infrastructure","https://x.com/FordefiHQ/status/1757417790900691306","","","Paxos + Alchemy + Pantera Capital + DeFiance Capital + KeyRock + Flare Network"
"IntentX",1707696000,"2024-02-12",1800000,"Strategic ","OTC Perpetuals DE","Selini Capital","DEX","https://x.com/IntentX_/status/1757060889834836259","","","Orbs + Mantle Ecosystem + Mirana Ventures + Kronos Research + Manifold Trading"
"Analog",1707696000,"2024-02-12",16000000,"","cross-chain communication tools for developers","Tribe Capital","Infrastructure","https://x.com/OneAnalog/status/1757126550380826987","120","","Near + Wintermute + Orange DAO + Benqi Finance + Quantstamp + Alumni Ventures + NGC Ventures + Balaji Srinivasan + Samara Asset Group"
"Hydro Protocol",1707696000,"2024-02-12","","Priivate","Injective-native LSD+LSDFi Protocol","","Liquid Staking Protocol","https://x.com/hydro_fi/status/1756974233782272153","","Injective","Injective Venture Group + Vessel Capital + Moonhill Capital + SkyVision Capital + Exnetwork Capital + Taureon + Quantstamp + Black Dragon + Trinito + Verse2 + PAKA + Open Digital Infrastructure Group + Coinseeker.co + CSP DAO + Dorahacks"
"Unisat",1707436800,"2024-02-09","","pre-Series A"," bitcoin service provider that supports inscription assets","OKX Ventures","Infrastructure","https://x.com/unisat_wallet/status/1755964477399597457","","Bitcoin","SWC Global + Vitalbridge Capital + ABCDE"
"fuzzland",1707436800,"2024-02-09",3000000,"Seed","tools for devs, traders, MEV bots, and auditors to quickly and accurately analyze any smart contracts using fuzzing, AI, formal verification and distributed computing infrastructure","1kx","Smart contract security","https://x.com/hackthedefi/status/1755725820637888566","","","Hashkey Capital + SNZ Capital + Panga Capital + Dedaub + GoPlus Security"
"Superform Labs",1707350400,"2024-02-08",6500000,"Seed","Universal Yield Marketplace","Polychain Capital","DeFi","https://x.com/superformxyz/status/1755592417552826617","","Ethereum + Arbitrum + Polygon + Avalanche + Fantom + BNB","Maven 11 Capital + BlockTower Capital + Circle Ventures + Arthur Hayes + Marc Bhargava + Avi Felman + Michael Bucella + Bryan Pellegrino"
"Navi Protocol",1707350400,"2024-02-08",2000000,"Strategic "," Lending + LSDeFi on Sui","","DeFi","https://x.com/LBank_Exchange/status/1755525287872167975","","Sui","LBank Labs + OKX Ventures + Dao5 + Hashed"
"DEXTools",1707350400,"2024-02-08","","Seed","","OKX Ventures","DeFi"," Trading App for DEFI","","Ethereum + BNB + Avalanche + Arbitrum + Polygon + Optimism + Base + Solana + Fantom + Cronos + Manta + Scroll + Pulsechain + Helas + Mantle + zkSync + Aptos + Moonbeam + Oasis + StarkNet + Moonriver + Astar + Celo + Klaytn + Telos + Evmos + Metis + Linea + Aurora + RSK + Elastos + Boba",""
"Flood",1707350400,"2024-02-08",5200000,"Seed","Dex aggregator","Bain Capital Crypto","DEX","https://x.com/TheBlock__/status/1755592345817403644","","Arbitrum + Ethereum + Base + Optimism","Archetype  + Robot Ventures"
"LightLink",1707177600,"2024-02-06",4500000,"Seed","Ethereum L2 blockchain that lets dApps and enterprises offer users instant, gasless transactions","T&B Media Global Thailand + MQDC","L2","https://x.com/LightLinkChain/status/1754902441655779519","","Ethereum","Blue7 + JellyC + b3v.io"
